JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
pheS_2,rssB_1,dltA_1,cpdA_1,secA,crhR,ycf3_1
dbpA,mbtH_1,fadD,recJ,bsmA,msbA,rfbF
leuA_1,lgrD_2,sphR_1,ycf12,ribF,btuB_1,lhgD
pknD_3,novN_1,sasA_3,aroK,rbn,sasA_4,galE_1
sseA,ppsE,cas1_1,pknD_4,surE_1,tcrA,rfbC
mnmC,mmgC,cas1_2,pknD_5,pheS,pucC,hepA
rcsC_4,tycC_1,cas2,argB,srmB,suhB,arnC_1
glmU,lgrB_2,eriC,pdxH_1,leuA_1,neoA,mshA_1
pyrD,ectB_1,gyrA_1,cugP_1,pknD_2,menA,pstS_1
cobO,grsB_1,lnt,speA_1,sseA,ileS,egtB_1
hisA,tycC_2,cpcS1,ndk,mnmC,ald,rcsC_2
steT,lgrD_3,yjmB,rutE,rcsC_3,pkwA,phoP_1
rlmD_1,mepA_1,gpt,ubiB_1,glmU,purL,patA_1
sphR_1,rhaR_1,ywnH,btuD_2,mshA_1,purF,gph_1
sphS,btuB_1,yjiA_1,emrA_1,pyrD_1,cmpB,yhdG_1
phoU,yfiY_1,pkwA_1,pnp,xylE,cmpC,hemL_1
cysR_1,yheI_1,pyrG,rapA_1,garB_1,nrtA,eriC
COQ3_2,ltrA_1,dgkA,spo0M,garB_2,pacL,pyrE
arnC_1,xerD_2,ybeY,ycf3_1,hisC_1,yrbG,queC
fbiC_1,nhaP2_1,prfB,cheB_2,rcsC_4,eno_1,yceM
yqgN,yhhT_2,gatD,vraR,aroF_1,mgtB,tyrP
fcl,dap_2,ycf3_1,ppk_1,rpsO,pipB,ilvA
gmd_1,rssB_2,arnT_1,hisD_1,glpK,mgtC,iolS_1
mshA_1,todS_2,lyr,rpoC2,chlB,btuD_2,rluB
rnhA_1,phoP_1,sat,rpoC,glnH_1,mshA_1,dps_1
pgsA,lysA_2,uvrB_1,rpoB,rplT,gmd,rhaS_1
aspA,lgrD_4,moaB,dtd3,rpmI,fcl,cbiT
amiC,lgrB_3,dtd,rpsT,psbA3_1,yqgN,mscL
livH_1,cysC_1,yciC_2,btuD_3,comM,fbiC,pyrF
lptB_1,besE,cysS,pds_1,bacC_1,arnC_1,tyrS
btuD_2,camD_1,msmX_1,dnaJ_2,rsmF,cysR,pbpG_1
folD,proC_1,gsiA_1,hspA_1,yqgF,phoU,surE_1
pdxJ_1,acpP_1,alaS,moaC,pipB2_2,sphS,wcaJ_1
gsiA_1,choB,rbgA,cntE,clpS_1,sphR,sigA2_1
glsA1,lgrD_5,sasA_4,rgtE,rne,rlmD,frp
rlpA_1,eryA,pcrA,arcB_1,rnhB,steT,gsiA_1
panC/cmk,rhaS_1,era_1,crtB,mdtC_1,hisA,lipA2
murQ,rfbE_1,sasA_5,pds_2,pheA,pipB2,cheB_1
csm4,rfbJ,vte5_1,phzF,lon2_1,cobO,pknD_4
csm3,rfbG,rmlD,rlpA_1,rpsJ,pyrD,czcR
vdcB,ilvB_1,obg,nagZ,tuf,glmU,iolS_2
rnr_2,linC_1,sir_1,ebrB,fusA_1,rcsC_4,ilvC
clpP_1,tolB_2,upp_1,rcsC_7,rpsG,mnmC,egtD
mobA,yhdN,crtNb,mutL,rpsL,sseA,apcD_1
ilvH,kynA,prsA_1,glpE_1,gltS_1,pknD_1,glnA_1
