JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
ribA,cmdD,ndoA,lipM,nagA,NA,nucA
rtcA,quiP,crtI_1,ureE,chlM,NA,mhpC
pknD_8,yojI_4,mkl,ureF,egtC,NA,yabJ_1
COQ5_3,ytrE,cysA_1,pknD_10,egtB_2,NA,malQ_1
clpP_2,rhaR_2,purT,ppx,egtD,NA,rfaQ
clpP_3,cntO,sasA_10,plqA,bphD,NA,ispD
arnT_1,yfiY_4,rcp1_2,xynZ_2,thrC,NA,scpB
clcB,pal_1,cph1_1,tagA_1,styA,NA,htrA_2
iscR,trpA_3,capA,cysE_1,arnC_3,NA,ispG_1
cobD_1,ndhL,yqjG_1,iolG_1,rcsC_11,NA,ctpB
pyrR,mshA_2,gatC,oleD,cheR,NA,fusA_2
pknD_9,btuD_5,ycf3_4,mshA_4,cheB_3,NA,cpoB_3
dhmA,bshA_1,yedK,tuaB,rcsC_12,NA,phoP_2
psb28_1,gloB_2,yfcG_1,ndhK1_1,ald_2,NA,icd
trmJ,rplI,bphA3,hspA_2,ctaE_1,NA,malK
htpX_2,dnaB,ppk_1,ftsH4_1,ctaD_1,NA,pknD_9
aspS,COQ5_4,scmP_2,hspA_3,ndhD1_2,NA,spkC
mshA_4,relK,besA,dnaK2_1,ctaA,NA,pknD_10
rfbE,rcsC_4,glgP_1,pkwA_1,ctaB,NA,pknD_11
wecG,thyX,hpnP_1,ydaD,COQ5_5,NA,rcsC_14
xynZ_2,dcd_1,trpS,besA,rtcB,NA,aroK
mshA_5,dcd_2,yitJ,pknD_11,yciC_2,NA,ycf12
susA_1,dcd_3,lolD,scmP_1,kefC,NA,recJ
gph_2,btuR,aaeA,ecfA2_1,norR,NA,COQ5_5
bepA_2,adk_1,pksE_1,mnmE_2,efp,NA,cpdA_4
serC,rph,auaH_1,btuD_6,accB,NA,cysH
moaA_2,pgl,chlN,sphR_1,ziaR_1,NA,mftE
metK_2,bamA_3,chlL,grxD,proS,NA,rssB_2
cheR_1,psaK_1,sppA_1,prcA,rluB,NA,spoIIAA
cheB_2,glnB,fni,tadA_2,psbC_1,NA,grpE_1
rcsC_8,rdgB,COQ3_1,hemA,psbD1_1,NA,iolG_1
cpoB_6,pgcA,apaH_1,ccmK,ycf4,NA,map_1
pstB3_2,COQ5_5,pknD_8,ccmK4,fabF_1,NA,tolB_3
pstA_2,moaA_1,pknD_9,rd,gdhA,NA,hcaB_1
pstS_1,glmS,msmX_2,comB,tolB_3,NA,mshA_4
mtaD,psaC,sugB,ureA,merA_2,NA,mshA_5
ycf3_4,pknJ,bcrA,ureD,acoA,NA,pknD_12
tcrA_1,pknD_3,rcsC_8,lapB_1,lacX,NA,pknD_13
sasA_7,hcaC,sucD,psbA2_1,fda,NA,argB
gshAB,smc_2,fetB,ppc,nit1,NA,ndk
cphB_1,pcrA_1,desV_1,tam_1,pstB3,NA,speA_1
tolB_1,sasA_8,psbF,ccsA,pstA_1,NA,cugP_1
dnaK2_1,pmbA_1,psbE,tilS,pstC,NA,pdxH_1
hspA_1,cpoB_2,norV_2,smc_2,lspA,NA,pds_1
ftsH4_1,rnr_1,ndhC,patA_1,mtgA_2,NA,rssB_3
hspA_2,rpmG,ndhK1,phoP_3,apt,NA,sasA_6
pknD_10,ampG_1,ndhJ,rcsC_12,dppB_1,NA,phoP_3
ndhK1_1,btuB_4,rpsO,betI_1,scmP_1,NA,phoP_4
cysC_2,grsB_2,aroF_1,proB,yfcG_3,NA,dnaJ_1
lapB_1,mbtB,tyrC,cinA,yedK,NA,hspA_1
nhaS3_1,entS_1,uppP,glyA,ycf3_5,NA,moaC
bepE,dnaN_2,rcsC_9,rpsF,gatC,NA,cntE
mdtA_3,dnaA,rssB_3,pgk,yqjG_1,NA,rgtE
tpl,def_1,srpB,pal_1,sasA_3,NA,arcB
hcaC,ctpC,glgP_2,trpA,czcR_1,NA,crtB
cbbY,dhaK,queE,ndhL,pheT,NA,pds_2
galK_1,dhaL,mshA_3,larC,cbiJ,NA,phzF
atzE,sbpA_2,inhA,yciO,cugP_1,NA,rlpA_2
accD,cysT,malT,rbfA,ndhH_1,NA,mutL
pppA,cysW,ndhN,mamM,rsmH,NA,glpE_1
leuB,cysR_1,rplC,saeR,cpoB_7,NA,add
bcrA,sigF_1,rplD,cph1_2,tadA_1,NA,cheY
mdtD,dusA,rplB,soj,prcA,NA,purA
sucD,recF_1,rpsS,rnd_1,grxD,NA,ftrV
fetB,menB,rplV,mshA_5,kdpE,NA,pcrA_2
desV_1,cpoB_3,rpsC,mtoX,btuD_5,NA,rpmI
psbF,proB_1,rplP,kefB_3,sasA_4,NA,rplT
psbE,trxB,rpsQ,amyM,mprA_3,NA,glnH
norV_1,alaC,rplN,PGdx,auaH_2,NA,rcsC_15
ndhC,fgd1,rplX,phnE_1,mdtC_2,NA,chlB
ndhK1_2,treS,rplE,phnC,chqB,NA,vat
ndhJ,cof,rpsH,phnD1,pcxA_2,NA,deaD
rpsO,tenA,rplF,htpX_2,bepE_1,NA,pheS
aroF_2,gfo_1,rplR,murAA,mdtA_1,NA,surE_2
tyrC,rcsC_5,rpsE,aviRb,glgX_1,NA,rbn
uppP,ydcV,rplO,murT,ackA,NA,ribF
sasA_8,egtB_1,secY,cysE_2,gpmA_1,NA,ravA
rssB_2,betA_2,adk_1,mtnP,tal_1,NA,secA
srpB,alaS,infA,sasA_11,walR_2,NA,gdx
glgP_1,rbgA,rpsM,betI_2,cmoB,NA,crtNb_1
fghA,pknD_4,rpsK,macB_2,tolB_4,NA,upp_1
queE,gabD1,rpoA,miaA,ycf3_6,NA,ddpC
mshA_6,budB,rplQ,gyrB,cpcT1,NA,glkA
inhA,glcK,truA,rpoD_1,bdhA,NA,serS
malT,hisD_1,rplM,gyrA_2,phaZ2,NA,sasA_7
tolB_2,sdpR,rpsI,rcsC_13,livQ,NA,btuD_6
lgrE,auaH_1,rpmE,lapB_2,mgtA_1,NA,qmcA_2
selD,lgrD_11,prfA,mdtA_1,auaH_3,NA,folP
queD,pksE_1,murF,macB_3,noc_1,NA,tpiA
pknD_11,acpP_4,ampG,yknY_1,acpP_1,NA,aqpZ_1
tolQ_2,noc_10,phnE,mdtA_2,pksE,NA,pknD_14
tolR_2,oleD,glnQ_2,macB_4,lgrD_1,NA,mshA_6
thf1,mgtA_1,rsfS,yknY_2,auaH_4,NA,rplS
cpcT2,msbA,ettA,gph_1,tolQ_1,NA,nusG
hemF,gchK,mdh,queG,ndhB_1,NA,rplK
apbC_1,minE,ndhO,spoIIAB,argD,NA,rplA
ftsW_1,minD_1,mutM,rssB_1,kefB_1,NA,rplJ
kefB_2,minC,psaE,degU_2,macA_1,NA,rplL
tuaD,denK,mraY,tagA_2,ychN,NA,pknD_15
rhaR_1,inhA_1,purD,btuD_7,yknY_1,NA,pknD_16
rcsC_9,yafJ,sasA_11,menH_3,aldB,NA,ysnE
phoP_1,copA_2,cmpR_1,alr2,gph_1,NA,mtnA
patA_1,tatA_1,ubiB_1,gltA,rpsA_1,NA,dxs_1
smc_3,cphA,prpC,ndhA,psbB_1,NA,hemE
tilS,cphB_1,spkA_1,ndhI_1,dppB_2,NA,tolB_4
ccsA,trmD,anmK,nuoK,betI_1,NA,ptrB
ccmK,ispF,dfa3_1,nadK_1,proB,NA,fitB
ccmK4,larB,dfa5_1,nifB,pip_1,NA,malE
rd,argH,ggt,nifS,fosA,NA,epsJ
comB_1,coaX,moaA_1,nfuA_1,yhgF,NA,crtX
htpX_3,dfa3_1,serC,nifH_1,bepA_2,NA,cmoM_2
tkt_1,pgk,bepA_2,nifD_1,mnmG,NA,ykfA_1
bmrU,psbA3_1,gph_2,nifK_1,murQ,NA,era_2
aroB,phrA,susA_2,nifD_2,patA_2,NA,liaR_1
sodC,cobN_1,xynZ_1,nifK_2,panC/cmk,NA,aroA1
bioB,lpxB_1,tarA,nifW2,rlpA_1,NA,cefD_1
rimJ,arnE,murJ_1,hesA1,glsA1,NA,gldA
selO,cocE,aspS,hesB1,gsiA_2,NA,dapL_1
rhaR_2,pknD_5,htpX_1,fdxH,mgtE,NA,acr3
minE,ydbD,trmJ,ctaB_1,relA,NA,arsC
minD_1,pknD_6,psb28,mopA,moaA_4,NA,chlN
minC,apaH_1,sppA_2,hybD,nrtB_2,NA,chlL
gdhA,arnC_4,aroH,ctaD_1,lgt_1,NA,sppA_1
fabF_1,rpsB,pyk,ctaE_1,bshA_2,NA,fni
ycf4,tsf,mshA_4,fabG_3,entS_3,NA,COQ3_1
psbD1_1,ybhR_1,wbbL,yhhW,bepA_3,NA,phoA
psbC_1,ybhR_2,menF,cobIJ,serC,NA,COQ5_6
pknD_12,ybhS,yggS,cobH,moaA_5,NA,mdh
ydaF_1,ybhF,sepF,sir_1,rpsD,NA,ndhO
pknD_13,emrA_1,proC,cobL,hetR,NA,mutM
sasA_9,pkwA_2,gcvT_1,gdh,gutB_1,NA,psaE
norV_2,dnaG,bepA_3,phoR,tam,NA,ndhD1_2
nemA_1,selU,crcB_1,rcsC_14,COQ5_6,NA,thrB
fnr,moeZ,crcB_2,rcsC_15,glnA,NA,ftsH_1
exsA,purM,nhaP2_1,sufS,apcD_1,NA,mgtA_1
birA,sodB,livQ,dapF_1,tlyA,NA,purC
ribE,aroB,hspA_3,tri1_1,era_2,NA,bamA_2
menJ,petL,mgtA_2,iscS_1,rcsC_13,NA,lpxC
frr,bioB,auaH_2,pknD_12,haeIIIM,NA,lpxA
pyrH,rimJ,acpP_1,tldD_1,prs_2,NA,lpxB_1
tgnD,selO,pksE_2,kinE,pknD_4,NA,htpX_1
tagU_1,acyP,lgrD_1,rcsC_16,bioD1,NA,dinG_1
rpe,csd,auaH_3,hcaR_1,scmP_2,NA,perR
rcsC_10,sufD,ccmK2_1,dfa1,ilvH,NA,petC
ebrB,sufC,hisD_1,dfa5_2,mobA_1,NA,merA_1
nagZ,sufB,nanK,hhoA,clpP_1,NA,cobD_1
rlpA_2,cpoB_4,merR1,hslO,rnr_1,NA,hup
phzF,lnrL_1,pacS,mtcA2_1,ubiX,NA,trmFO
pds_1,nadE,gtaB,nemA,aroK,NA,mtgA_2
crtB,nadD_1,galK,yfcG_2,pknD_5,NA,yafP
arcB,pncB2,leuS,fabG_4,pknD_6,NA,kmo_1
rgtE,uvrB,kefB_2,trxA_2,argB,NA,leuA_1
mutL,serA,recJ,tcrA_1,pdxH_1,NA,prmA_1
glpE_2,prmA,ycf12,sasA_12,sphR,NA,ftsH2_2
add,pknD_7,aroK,rnz,sphS,NA,ltxD_2
purA,pknD_8,trpG,hlyD_1,phoU,NA,btuD_7
ftrV,speH,walR_1,lagD_1,cysR_1,NA,ftsH4
qmcA_1,speE,radA,cobP,priA_1,NA,sfsA
zur,sigA2_7,ycf3_5,hemH_1,eda,NA,aldHT
purS,shc,btuD_3,COQ5_3,dfa3_1,NA,ydeP
purQ,perR,pknD_10,COQ5_4,dfa3_2,NA,rcsC_16
hflX,dinG,pucG,pknD_13,dfa5_2,NA,xerC_1
gshB,htpX_2,pknD_11,hcaB_1,dfa5_3,NA,znuB
ftsZ,ptlI,bamA_3,chaB,sasA_5,NA,ziaR
ftsQ,lpxB_2,dgcE,dhaA_1,fbiC_1,NA,znuC
psbO,lpxA,bchE,psbA1_1,arnC_4,NA,znuA
sigF,lpxC,msrB,purB,COQ3_1,NA,rqcH
rsgA,bamA_4,cpoB_6,smc_3,garK,NA,mshA_7
dnaJ_2,purC,smc_2,uvrC,sasA_6,NA,htpX_2
dnaK_1,mgtA_2,cbs,rlmN,pstS_1,NA,prfC
grpE_1,ftsH_5,mshA_5,cbiF,pipB2_3,NA,hemB
pilT_1,thrB,arnC_2,hemN_1,clcD_1,NA,kefB_1
epsF,ndhD1_1,COQ5_1,pbsA1_1,lrp,NA,bfmBAB
mutS2,yqjG_1,hepA_1,ychF,hpd,NA,secDF
trxA_1,gatC,rfbC,crp,hmgA,NA,secF
resA,ycf3_2,hldD,rcsC_17,acs,NA,bvgS
dnaJ_3,yedK,lhgD,rcsC_18,barS1_1,NA,tsaC
glgC_1,yfcG_1,rfbF,rcsC_19,dnaK_1,NA,prmC
def_1,crtN_1,cpoB_7,ycf3_3,uvsE,NA,menH_1
ftsX,ydhR,pphC,cpoB_1,livF_1,NA,tsaD
aat,bphA3,rcsC_10,pimB,fprB,NA,psaF
rpsN,yafP,pheT,thiE,plsY_1,NA,psaL
thiD,oleB,sasA_12,hcaR_2,rhaS_1,NA,gmk
glgP_2,pacL_1,murE,coaE,glyS,NA,remA
ftsY,recF_2,rnd_1,nasF_2,murD,NA,mraY
nusB,pacL_2,glpE_3,cpoB_2,pdhC,NA,clpB1_1
arnC_3,efeU,pdxA2,rcsC_20,dps_1,NA,gloA
htpG,ftsP,petM,rcsC_21,carB,NA,eno
clpB1_1,cbiM_1,nadK_1,ktrB,sigA2_1,NA,argC
gloA,cbiN,mprA_1,ktrA,mutT,NA,ribBA
mmcR_1,cbiQ,sasA_13,cpoB_3,sasA_7,NA,rcsC_17
betA,ecfA3,rpmI,yjjG,trpB_2,NA,walR_1
ydaF_2,cbiM_2,rplT,ndbB,prfA,NA,patA_3
rhlE,efp,glnH_1,iscS_2,rpsI,NA,patA_4
thiL,accB,chlB,rcsC_22,rplM,NA,ydfG
gap2,smtB,vat,tolB_3,truA,NA,murG
nadD_1,proS,apaH_2,rcsC_23,rplQ,NA,gpmI
murC,kaiB_1,bepA_4,aldH1,rpoA,NA,ybiT
murB,pilT_1,menH_2,cph2_2,rpsK,NA,egtB_2
nrtD_1,sacA,ftsE,yedY1_1,rpsM,NA,rip3_1
ssuC_1,btuD_6,hlyB,aldB,infA,NA,bcpA
ompA_2,mshA_3,hlyD_1,rnjA,adk_1,NA,sasA_8
hypB,mshA_4,ftsH2_1,dapA,secY,NA,murE
hypA,mshA_5,yfcG_2,asd2,rplO,NA,rnd_1
speB,mshA_6,ribH,tig,rpsE,NA,glpE_2
pepA,arnC_5,bphD,clpP_1,rplR,NA,desV_1
prxU,glf_1,ddl,clpX,rplF,NA,fetB
trmL,btuD_7,tolB_1,menH_4,rpsH,NA,sucC
gshA,tagA_1,miaB,clcD,rplE,NA,sucD
acuC,spoVD,rep,rpsA_1,rplX,NA,ycf3_2
uvrA,pcb,rssB_4,pgpB,rplN,NA,hcaB_2
menH_3,isiA,menG,crtI_1,rpsQ,NA,hisD_1
hdc,cysA_1,cesA,mkl,rplP,NA,glcK
ureC,rssB_6,devR,rfaF,rpsC,NA,rnc_1
ureB1,sasA_9,susA_3,mshA_6,rplV,NA,gntK
ureA,phoP_2,divK_1,gmhA,rpsS,NA,cpcT1
ureD,glpK,upp_2,bacC_2,rplB,NA,rhaR_2
lapB_2,rutE,ribA,glnQ_1,rplD,NA,glyQ
cpoB_7,dpnM_1,rtcA,yhdY,rplC,NA,prtS
psbA2,def_2,COQ5_2,yhdW,ndhN,NA,btuF
psbA1_1,ctpF_2,yjcG,mshA_7,kefB_2,NA,trpS
ppc,nhaS2,queF,arnC_2,pknD_7,NA,yitJ
todF,trkA,ccsB,mntB_1,nadC,NA,glgP_1
ilvE_1,sasA_10,dsbD,mntB_2,nhaP,NA,gutB_1
haeIIIM,cusR_2,secA,mntA,crtI_1,NA,gabR
deoC2,pgmB,ravA,bspRIM,psbD1_2,NA,dps_2
recO,COQ5_6,ribF,rssB_2,ecfA1,NA,carB
mshA_7,rtcB,rbn,clpC_1,cefD_1,NA,sigA2_2
recR,rhaS_2,surE_1,relK,hcaB_1,NA,rppH_1
yojI_1,inhA_2,pheS,yedY1_2,comB_1,NA,sasA_9
auaH_1,soj_7,dbpA,yedZ1,nhaP2_1,NA,novR
fabH_1,rnd_1,arnT_2,ppgK,alkJ_1,NA,ysdC
pksE_1,arnC_6,rcsC_11,rimO,rhlE,NA,IMPDH_2
aaeA,thrC,kaiA,crhR,smc_1,NA,walR_2
lolD,moaA_2,kaiB_1,pucC,menE_1,NA,radA
COQ5_4,tal_2,kaiC,suhB_1,menC,NA,btuD_8
yitJ,fldP,rcsC_12,neoA,menA_1,NA,pknD_17
trpS,rcsC_6,rcp1_3,menA_1,pchA,NA,pknD_18
pknD_14,rcsC_7,sasA_14,btuD_8,queG,NA,rimP
lptD_1,rcsC_8,ftsH2_2,mshA_8,gph_2,NA,nusA
psbI,sasA_11,gltX,mshA_9,yknY_2,NA,infB
recQ,purT,btuB_2,gmd_1,macB_1,NA,prsA
pdhC,cysA_2,btuF_1,cpoB_4,mdtA_2,NA,btuD_9
fkpB,rhaR_3,hmuU_1,yidD_2,cpoB_8,NA,hlyD_1
xdhA,fprB,btuD_4,vte5_2,divK_2,NA,surA
lsrA,livF_1,minE,trmJ,gyrA_2,NA,bshA_1
btuD_7,bfce,minD_1,psb28_1,rpoD_1,NA,exoA
pknD_15,pknD_9,minC,pknD_14,gyrB,NA,gltX
lacF_1,glkA,gdhA,ubiD,miaA,NA,thiC
purN,ddpC,ycf4,tpm,macB_2,NA,egtB_3
fosA,upp_1,ecfA1,livF_1,kefB_3,NA,rluE
acnB,crtNb,ubiB_2,fprB,nagB,NA,walK
egtB_3,egtB_2,recN,pipB2_1,glcK,NA,pknD_19
malQ_2,secA,dnaE,lpxG,ybaL,NA,wbgU_1
glgX,ribF_2,pcyA,metH,hisD_1,NA,purD
treZ,rbn,macB_3,argS,pfp_1,NA,sasA_10
hpnP_1,surE_1,ctpF_1,ctaE_2,rhaS_2,NA,cmpR_1
macB_4,pheS,pknD_12,ctaD_2,cmoA,NA,ubiB_2
pcyA,deaD,lptD,ctaA,phoP_1,NA,prpC
dnaE,acsA,psbI,ctaB_2,rcsC_14,NA,spkA_1
dctA,cpoB_5,dapH_2,COQ5_5,ppsA_1,NA,anmK
recN,pcxA_2,trxB,rtcB_1,psbA3_2,NA,tal_1
ubiB_2,adhA,dapL_1,rcsC_24,regX3_1,NA,gap1
sasA_10,rpsU,tenA,rcsC_25,sasA_8,NA,mnmE_2
cph1_2,rpsP,rcsC_13,ligA,bmrU_1,NA,perA
rcp1_1,ffh,ydcV,selO,hslO,NA,mgtA_2
sasA_11,cysG,egtB_2,rimJ,hhoA_1,NA,yojI
rcsC_11,iolC,menE,bioB,crtN,NA,entS_1
polC,mshA_7,ykfB,petL,kdpC_1,NA,trxA_1
petN,rutB,menA_1,aroB,kdpB_2,NA,yfcG_1
ftsH_1,per1,pchA,bmrU,kdpA_1,NA,nemA_1
yidC,sufE,proA_2,tkt_1,sasA_9,NA,nox
rnpA,cobIJ,petC_1,hcnC,degU_1,NA,tmk
rpmH,cobH,rqcH,dhaA_2,cobH,NA,cat
pntAA,sir_1,mshA_6,iolC,yojI_1,NA,choB
pntA_1,rhaS_3,htpX_2,gntK,tolB_5,NA,ycf3_3
pntB_1,ephA,prfC_1,petB_2,yfcG_4,NA,pknD_20
yafJ,trpB_3,hemB_1,petD,minD_1,NA,recQ
chlL,cysO,kefB_3,rsbW,gutB_2,NA,swrC
chlN,xerC_9,bfmBAB,ssrA,sasA_10,NA,mdtA_2
lagD_1,fusA_1,secD,atpG_1,rcp1_1,NA,tcrA_1
hlyD_1,pflA,secF,atpA,rcsC_15,NA,sasA_11
yabJ_2,adhE,sasA_15,atpH,phy,NA,rnz
nadK_2,pat,tsaC,atpF,pcp,NA,moaA_3
nuoK,proA_1,prmC,atpG_2,hisH,NA,htpG_1
ndhI_1,desA_2,menH_3,atpE,rsmD,NA,arnC_3
ndhA,metZ,tsaD,atpB,mtnW,NA,nusB
gltA,pepP_1,psaF_1,apcE_1,prxU,NA,ftsY
alr2,ubiB_1,psaJ,apcA,rcsC_16,NA,tvaII
hemL_1,btuD_8,psaL_1,apcB_1,degU_2,NA,apc3
yhdG_1,dps_1,gmk,apcC,rssB_5,NA,COQ3_2
gph_3,liaR_2,remA,prmC_1,gdhI,NA,apc4
yhdG_2,rcp1_1,wbgU_1,rcsC_26,resA_2,NA,petD_1
patA_2,rcsC_9,pknD_13,rutB_1,yqjG_2,NA,kmo_2
phoP_2,rcsC_10,sasA_16,ftsW_1,yhhT_1,NA,sfmM2
rcsC_12,rcsC_11,rluE,galE,lnrK_1,NA,bepE_2
stp,rpsU1_1,cpcG4_1,yheI,lagD_1,NA,mdtA_3
malP,minD_2,cpcG4_2,ucpA_1,btuD_6,NA,mshA_8
pyk_1,rppH,cpcG2,psbN,fabL_1,NA,ubiL
rcsC_13,ftsH_6,cpcG1,psbH_1,aceB,NA,lysS
rssB_3,thadh,cpcF,tatA,icl,NA,glk
walR_1,kptA,cpcE,pth,thlA_1,NA,gpmB_1
sipT_1,cpoB_6,cpcD,rpsU1_2,phaB_1,NA,btuD_10
pyrC_1,rpsO,cpcC,rsmI,phaE,NA,phnE
fbaB,aroF_5,cpcA,yihV,phaC,NA,queE
aspC,tyrC,cpcB,cysQ,hcaB_2,NA,psaI
purK,uppP,pecF,pstS_1,phaP,NA,psbE
cbiG,rcsC_12,pecE,rpsU1_3,thlA_2,NA,norV_1
ankX,rssB_7,pecC,pmbA,phaB_2,NA,ndhC
yhfK_1,hisF,pccA,tldD_2,mdtD,NA,ndhK1_1
menH_4,ruvB_1,pccB,novN,minD_2,NA,ndhJ
xpkA_1,cpoB_7,rluD,rfbD_2,sat,NA,csm4
pgm,cbbS,patA_1,rmlC_2,vapC_1,NA,csm3
tldD_1,cbbL,nasF_1,rfbA,rpiB,NA,rcsC_18
mtnB,pflB,murJ_2,bshA_3,msrA,NA,rcsC_19
mtnX,mfd_1,tagU_2,mshA_10,desV_1,NA,cheR_1
mtnD,gpmA_1,rfbM,mshA_11,smpB,NA,cheB_2
mrdA_1,dhaA_1,rsmB,asnB,mprA_4,NA,rcsC_20
nfuA_1,hcnC,mtgA_1,mshA_12,pvuIIM,NA,slyD
rcsC_14,bmrU,nudF,COQ3_1,cynS,NA,fbaB
lepA,spkB,cymR,mshA_13,psaB1,NA,acoA
cpoB_8,cmpR_1,cysK1_1,mshA_14,psaA_1,NA,lacX
spkA_1,ccmM,dnaJ_2,mshA_15,glsA2,NA,cbiG
sasA_12,ccmL,mnmA,mshA_16,uppS,NA,pcxA_1
mprA_2,ccmK1,bshA_1,per,resA_3,NA,rsxD
ndhB_1,ccmK2,norR,dapH_1,gltS_2,NA,ettA
msrQ_1,nuoL_1,kefC_1,desV_1,atzE,NA,limC
hisZ,ndhD1_2,lpxG,iolG_2,phoR,NA,crtN_1
dnaJ_4,map_1,metH,fdtC,ctpF_1,NA,COQ5_7
suhB_1,yrdA,argS,btuD_9,rcsC_17,NA,dctA
ureG_1,psbY,ctaE_1,iolS_1,surA_1,NA,dnaE
pipB2_2,fpgS,ctaD_1,petJ_1,hlyD_1,NA,soxA
cpdA_2,mprA_1,ctaA,ttuD,btuD_7,NA,argD
cysK1_1,xfp,ctaB_1,pvuIIM_1,prsA_2,NA,kefB_2
lgrD_1,phoP_3,rtcB_1,nikE,infB,NA,bphA3
tgnB,ppaX,pipB2_1,dppD,nusA,NA,cckA
lgrB_1,hpd,fprB,dppB_1,rimP,NA,cheB_3
lgrB_2,ecfT,livF_2,sgrR,pknD_8,NA,rcsC_21
lgrD_2,der_1,sctC,cntO,pknD_9,NA,nahK
luxA,nagB,fpgS,crtX,btuD_8,NA,bfce
lgrD_3,trpE,psbY,arlR_1,ddpX,NA,bmrU
panP_1,psaD,yrdA,sasA_13,yidD,NA,tkt_1
ppsE_1,sasA_12,map_1,mshA_17,vte5,NA,lnrL_1
pksL_1,thrS,ndhD1_2,bepA_1,nagAb,NA,msrQ
pksL_2,sctC,nuoL_1,ddpC,pncB2,NA,hisZ
ppsE_2,cesA,ccmK2_2,glkA,nadD_2,NA,suhB_1
ppsE_3,sir_2,ccmK1,pknD_15,nadE,NA,ureG_1
tam_1,obg,ccmL,cobS,hutZ,NA,rpoZ
dltA_1,rmlD,ccmM,amiB2,degU_3,NA,hfq
mepA,gcvP,cmpR_2,sodA2_1,htrA_2,NA,dapF_1
mbtH,gcvH,mnmE,ycf3_4,lnrL_2,NA,htpG_2
hcaB_1,gcvT_1,ecfA2_1,fabG_5,tolB_6,NA,COQ5_8
yfiY,psbI,pfp_1,yjiA_1,oleB_1,NA,sasA_12
btuB_1,lptD,cpoB_8,pbsA1_2,glgB,NA,sasA_13
acpP_1,pknD_10,acsA,glmM,yacL,NA,argF
yfiZ,spkA_1,tldD_1,sugA,hemW,NA,lexA
yfhA,ndhB_1,amyX,folB,clpS_2,NA,ispE
yusV_1,mtcA2_1,lpdA,menD,pucG,NA,rsmA
glnQ_1,ndhD1_3,trpC,rayT,tolQ_2,NA,egtB_4
glnP,hcaB_2,btuD_5,pip,tolR_1,NA,egtB_5
efeU,COQ5_7,gsiC,yxaF,paoB,NA,cyc2
ftsP,yhdW,apt,yfcG_3,paoC,NA,hisD_2
cbiM_1,yhdY,mtgA_2,trmFO,pucA,NA,rpoC2
czcD,glnQ_1,lspA,sasA_14,mobA_2,NA,rpoC
cbiN,pdhC,pstB3_1,dasC,ftsH2_1,NA,rpoB
cbiQ_1,mshA_8,sasA_17,accA,pipB2_4,NA,dtd3
ecfA3,htrA_1,pal_1,hcaB_2,lacF_2,NA,rpsT
cbiM_2,rpsU1_2,comM,folE,purN,NA,btuD_11
malK,cph1_1,rsmF,trpF_1,prfB,NA,ppk_1
icd,rcp1_2,ubiL,psaK_1,ybeY,NA,vraR_1
trpE,rcsC_13,lysS,psaK_2,dgkA,NA,rssB_4
psaD,hemH_1,glk,rip3_1,pabA,NA,ycf3_4
sasA_13,COQ5_8,gpmB,hypB,cefD_2,NA,spo0M
thrS_1,cysK1_2,ispG,hybF,spkA_1,NA,rapA_1
ndhD1_1,bioF,htrA_1,hypE,gltX,NA,pnp
thrB,ruvA,scpB,kduD,btuD_9,NA,emrA_1
fosB_1,pip,ispD,hypD,rpsT,NA,queA
ftsH_2,menD,rfaQ,hybG,dtd3,NA,quiP
mgtA_1,folB,bepA_5,hypF,rpoB,NA,cpoB_4
purC,sugA,malQ_2,nfuA_2,rpoC,NA,cpoB_5
bamA_2,auaH_2,tdcF,hydA,rpoC2,NA,aspA
lpxC,fabH_1,aldHT,ldhA,hisD_2,NA,pgsA
fabZ,pksE_2,sfsA,kdpC_2,ppk_1,NA,mshA_9
lpxA,aaeA,cpoB_9,kdpB_2,nreC,NA,gmd_1
lpxB,lolD,kdpC_1,kdpA_2,rssB_6,NA,fcl_2
ytrE,zur,lipM,priA,fusA_3,NA,rcsC_22
phoD_2,sasA_13,phrA,rpoD_2,cpoB_9,NA,metK_2
hisB,nudF,dppB,petJ_2,gmd_1,NA,prk_2
fabI,ndhI_1,sgrR,btuB_1,mshA_2,NA,petH
ntcA,purS,psbB_1,man5A,btuD_10,NA,hom
prtS,purQ,psbT,hmp,tagG,NA,rtpR
btuF_1,hflX,rpsA_2,truB,menA_2,NA,fbp
rcsC_15,yedZ1,gph_3,rihA,cpoB_10,NA,tal_2
rocA,yedY1_1,livF_3,tadA_3,ruvB_2,NA,zwf2
livH_2,yhbO,lnrL_3,osmC,hisF,NA,cbiA
lnrL_1,ndhM,livH_2,pcrA_2,bcp_1,NA,nrgA
livF_1,srrA_2,pipB2_2,rssB_3,cobQ,NA,ispH_1
fusA_1,arnC_7,rocA,menG,pds_1,NA,psbA3_1
cpoB_9,lipA,nadC,cesA,copA,NA,cga
glpK,gpsA,nhaP,tri1_2,pknD_10,NA,mneP
bshA_2,sigA2_8,gdh,sir_2,atpC,NA,gdh
exoA,fur,ilvD,obg,atpD,NA,ctaD_1
hlyD_2,cobN_2,hcaR_1,rmlD,wbgU,NA,ndbB_1
ilvA,rcsC_14,pipB2_3,epsN,gpmA_2,NA,betI_2
araQ_1,nanE,divK_2,rbgA,bshA_3,NA,oxyL
