zwf,noc_4,malQ_1,mnmA,ruvB_1,norV_1,hemH_1,petE_1
cbiA,ftsH_2,trmR,dnaJ_1,ycf3_3,psbE,COQ5_2,yhdN_1
infC_1,ftsH_3,glpE_1,cysK1_1,kdpB_1,psbF,chaB,hisN
cas4,aguA,rcsC_5,cymR_1,feoB,desV_1,cysK1_1,nadA
cas4-cas1,bltD,sasA_1,nudF_1,alkA,fetB,sugA,aroF_1
cas2,rdmC,rcp1_1,folK,ada,sucD,folB,dxs_1
trmR_1,lgrB_1,sasA_2,mtgA_1,btuD_1,rcsC_4,menD,mtnA
cysC_1,lgrD_1,mazG,rsmB,ycf3_4,bcrA,pip,sigA_1
nfi,mdtG,znuA,rfbM,sufB,sugB,mfppA_1,chlB
COQ3_1,thcB,znuC,tagU_1,sufC,msmX_1,ruvA,ribF
btuD_1,bioI,ziaR_1,trmR_1,sufD,pknD_3,bioF,nuoL_1
dsbD,dntB,znuB,murJ_1,csd_1,pknD_4,psaJ,ndhD1_1
ccsB,rebD,yciC_1,nasF_1,suhB_1,apaH_1,auaH_1,ybcJ
queF,rebO,folE_1,engB,pucC,fni,fabH_1,mdtC_1
secA,trpD2_1,hisI_1,parE1,crhR,sppA_1,pksE_1,ftsH_1
COQ5_1,trpB_1,mntB_1,kefB_1,rimO,chlL,aaeA,degU_1
ribF,trpA_1,def_2,nahK,nadB,chlN,lolD_1,gcvP
rbn,trpC_1,oppF,petC_1,psbU,auaH_1,COQ5_3,ftsY
surE_2,menF_1,nikB,dltA_1,salL,ycf4,rcsC_1,gph_1
pheS_1,aroF_1,btuB_1,cysH,trmJ,fabF_1,pphC,glnB_1
pheS_2,rssB_1,dltA_1,cpdA_1,secA,gdhA,ycf3_1,mdtB
dbpA,mbtH_1,fadD,recJ,bsmA,denK,rfbF,bmr3
leuA_1,lgrD_2,sphR_1,ycf12,ribF,minC,lhgD,recN
pknD_3,novN_1,sasA_3,aroK,rbn,minD_1,galE_1,lnrK_1
sseA,ppsE,cas1_1,pknD_4,surE_1,minE,rfbC,tolB_1
mnmC,mmgC,cas1_2,pknD_5,pheS,leuA_1,hepA,btuB_1
rcsC_4,tycC_1,cas2,argB,srmB,gltX,arnC_1,tcrA_1
glmU,lgrB_2,eriC,pdxH_1,leuA_1,ftsH2_1,mshA_1,sasA_3
pyrD,ectB_1,gyrA_1,cugP_1,pknD_2,sasA_2,pstS_1,cpoB_1
